id,date,user_username,user_displayname,content,like_count,retweet_count,reply_count,quote_count,lang,url,external_urls
1966256493378023859,2025-09-11 21:44:13+00:00,,,"@adamfeuerstein Well, that really hinges on who steps in as the new $SGMO #CFO. It's entirely possible that a #VC / private equity partner signing on for a #Fabry strategic partnership / co-development agreement might prefer to appoint their own candidate as CFO. https://t.co/0cIySxF5dw",19,1,2,3,en,https://x.com/i/web/status/1966256493378023859,https://x.com/ZinselmeyerB/status/1953875137544978493?t=e0fJyUxvFJIg4V7HmNEfiA&s=19
1966198565212168298,2025-09-11 17:54:02+00:00,,,"RT @rbarvil: ⏰ Just days left! Global leaders &amp; KOLs live on HCM, amyloidosis &amp; Fabry. In a few years you’ll ask why you missed this congre…",0,5,0,0,en,https://x.com/i/web/status/1966198565212168298,
1966105725144330255,2025-09-11 11:45:08+00:00,,,"RT @uniQure_NV: At #ICIEM2025, we presented the first data on our Fabry disease #genetherapy AMT-191. The team returns home from a long tri…",0,1,0,0,en,https://x.com/i/web/status/1966105725144330255,
1966059529969266955,2025-09-11 08:41:34+00:00,,,"RT @rbarvil: ⏰ Just days left! Global leaders &amp; KOLs live on HCM, amyloidosis &amp; Fabry. In a few years you’ll ask why you missed this congre…",0,5,0,0,en,https://x.com/i/web/status/1966059529969266955,
1966053630844563863,2025-09-11 08:18:07+00:00,,,"RT @rbarvil: ⏰ Just days left! Global leaders &amp; KOLs live on HCM, amyloidosis &amp; Fabry. In a few years you’ll ask why you missed this congre…",0,5,0,0,en,https://x.com/i/web/status/1966053630844563863,
1966053406725841400,2025-09-11 08:17:14+00:00,,,"⏰ Just days left! Global leaders &amp; KOLs live on HCM, amyloidosis &amp; Fabry. In a few years you’ll ask why you missed this congress😉#HCM #Amyloidosis #Fabry https://t.co/MHWZ4K9Kb0",7,5,1,0,en,https://x.com/i/web/status/1966053406725841400,https://twitter.com/rafavidalperez/status/1966039804878926033
1965906189339996396,2025-09-10 22:32:14+00:00,,,"RT @ZinselmeyerB: @SangamoTx #Fabry  $SGMO  

https://t.co/xYUt3iaE92",0,4,0,0,qme,https://x.com/i/web/status/1965906189339996396,https://www.linkedin.com/pulse/important-step-forward-fabry-disease-patients-sangamo-therapeutics-6kgyc/
1965894637475754246,2025-09-10 21:46:20+00:00,,,"Having a chronic illness like Fabry means facing some tough days, but having the hope we share means tomorrow can be brighter. 

Share one small thing below that you're looking forward to this week.

#Hope #Community #FabryDisease #Fabry #StrongerTogether #RareDisease #1FDSM https://t.co/TkAcGXGXmx",0,0,0,0,en,https://x.com/i/web/status/1965894637475754246,https://x.com/FabryOrg/status/1965894637475754246/photo/1
1965866251420578233,2025-09-10 19:53:33+00:00,,,"RT @ZinselmeyerB: @SangamoTx #Fabry  $SGMO  

https://t.co/xYUt3iaE92",0,4,0,0,qme,https://x.com/i/web/status/1965866251420578233,https://www.linkedin.com/pulse/important-step-forward-fabry-disease-patients-sangamo-therapeutics-6kgyc/
1965863381954605457,2025-09-10 19:42:08+00:00,,,"RT @ZinselmeyerB: @SangamoTx #Fabry  $SGMO  

https://t.co/xYUt3iaE92",0,4,0,0,qme,https://x.com/i/web/status/1965863381954605457,https://www.linkedin.com/pulse/important-step-forward-fabry-disease-patients-sangamo-therapeutics-6kgyc/
1965863171878703333,2025-09-10 19:41:18+00:00,,,"RT @ZinselmeyerB: @SangamoTx #Fabry  $SGMO  

https://t.co/xYUt3iaE92",0,4,0,0,qme,https://x.com/i/web/status/1965863171878703333,https://www.linkedin.com/pulse/important-step-forward-fabry-disease-patients-sangamo-therapeutics-6kgyc/
1965862543819427886,2025-09-10 19:38:49+00:00,,,"@SangamoTx #Fabry  $SGMO  

https://t.co/xYUt3iaE92",16,4,1,0,qme,https://x.com/i/web/status/1965862543819427886,https://www.linkedin.com/pulse/important-step-forward-fabry-disease-patients-sangamo-therapeutics-6kgyc/
